state,city,avg_rating,rating_variance,avg_price,n_restaurants,avg_review_count
IL,Rockford,3.8535000000000004,0.4151635678391967,1.6338028169014085,200,89.315
IL,Springfield,3.8875,0.3460238693467332,1.6569343065693432,200,80.6
IL,Waukegan,4.121,0.26397889447236206,1.8267716535433072,200,155.15
IN,Bloomington,3.7969999999999997,0.47134773869346636,1.7006802721088434,200,111.705
IN,Carmel,4.2395,0.12029120603015087,2.0657894736842106,200,270.945
IN,Evansville,4.0895,0.40938668341708523,1.6721311475409837,200,55.94
IN,Fort Wayne,4.151,0.18894371859296463,1.8421052631578947,200,108.67
IN,Gary,3.713,0.9844532663316596,1.5585585585585586,200,45.635
IN,Hammond,3.9739999999999998,0.30354170854271334,1.7762237762237763,200,126.74
IN,Indianapolis,4.322,0.08463919597989962,2.1124260355029585,200,424.945
IN,Lafayette,3.9610000000000003,0.3862100502512557,1.5905511811023623,200,87.44
IN,Muncie,2.824,2.1561045226130666,1.3628318584070795,200,30.025
IN,South Bend,4.018,0.3507296482412068,1.7338129496402879,200,112.07
KS,Kansas City,4.1655,0.27402989949748807,1.6950354609929077,200,157.72
KS,Lawrence,3.6735,0.7236660804020115,1.4264705882352942,200,86.215
KS,Lenexa,4.232,0.13706130653266343,1.948051948051948,200,351.515
KS,Manhattan,2.992571428571429,2.0195422003284045,1.4081632653061225,175,43.84
KS,Olathe,4.1435,0.1836761306532663,1.864864864864865,200,241.425
KS,Overland Park,4.2010000000000005,0.1277376884422113,1.955128205128205,200,261.12
KS,Salina,2.928030303030303,1.964017464723573,1.295774647887324,132,38.25757575757576
KS,Shawnee,4.258,0.14968442211055283,2.006666666666667,200,365.425
KS,Topeka,3.7955,0.4904821608040191,1.5725806451612903,200,49.61
KS,Wichita,4.1725,0.1916520100502511,1.7647058823529411,200,135.72
KY,Bowling Green,3.8425,0.7970288944723629,1.5339805825242718,200,54.245
KY,Covington,4.271,0.13111457286432143,2.0354609929078014,200,282.755
KY,Elizabethtown,2.6319526627218934,2.316353902507749,1.4673913043478262,169,44.30177514792899
KY,Florence,3.697,0.622101507537689,1.65,200,100.23
KY,Georgetown,3.0975,2.04125,1.346938775510204,200,43.77
KY,Hopkinsville,2.6392156862745098,2.8224072995534866,1.2127659574468086,102,17.53921568627451
KY,Lexington,4.2535,0.1173746231155781,1.8741258741258742,200,194.6
KY,Louisville,4.2895,0.08677361809045232,2.095808383233533,200,360.225
KY,Owensboro,3.2289999999999996,1.8980492462311562,1.3831775700934579,200,26.295
KY,Richmond,2.847297297297297,2.494890604890606,1.2894736842105263,148,30.39864864864865
LA,Alexandria,3.2680000000000002,1.4807798994974875,1.4953271028037383,200,34.44
LA,Baton Rouge,4.138,0.1343276381909549,1.986842105263158,200,204.5
LA,Bossier City,3.989,0.3401798994974872,1.849624060150376,200,105.855
LA,Houma,3.043,2.341759798994975,1.5636363636363637,200,22.765
LA,Kenner,3.9735,0.360248994974875,1.8796992481203008,200,167.505
LA,Lafayette,4.121,0.1911145728643219,1.823943661971831,200,97.71
LA,Lake Charles,3.8710000000000004,0.5023708542713572,1.73109243697479,200,72.38
